id,solicitante,soliciado_em,executado_em,intervalo_em_seg,valor
681,31,2021-11-04 16:58:28,2021-12-03 12:38:28,2489999.45,11470.00000
823,35,2021-11-04 16:58:31,2021-12-03 12:38:37,2490006.11,3500.00000
589,23,2021-11-04 16:58:26,2021-12-03 12:38:22,2489995.55,6210.00000
593,23,2021-11-04 16:58:26,2021-12-03 12:38:22,2489995.74,13570.00000
98,6,2021-11-04 16:58:16,2021-12-03 12:37:49,2489973.63,1380.00000
594,23,2021-11-04 16:58:26,2021-12-03 12:38:22,2489995.79,13340.00000
595,23,2021-11-04 16:58:26,2021-12-03 12:38:22,2489995.83,17940.00000
598,23,2021-11-04 16:58:26,2021-12-03 12:38:22,2489995.97,16560.00000
460,16,2021-11-04 16:58:23,2021-12-03 12:38:13,2489989.76,10560.00000
110,7,2021-11-04 16:58:16,2021-12-03 12:37:50,2489974.15,4130.00000
470,16,2021-11-04 16:58:24,2021-12-03 12:38:14,2489990.22,14720.00000
471,16,2021-11-04 16:58:24,2021-12-03 12:38:14,2489990.26,15680.00000
472,16,2021-11-04 16:58:24,2021-12-03 12:38:14,2489990.31,13600.00000
473,16,2021-11-04 16:58:24,2021-12-03 12:38:14,2489990.36,9440.00000
606,23,2021-11-04 16:58:26,2021-12-03 12:38:23,2489996.33,11730.00000
1,1,2021-11-04 16:58:14,2021-12-03 12:37:43,2489969.49,990.00000
475,16,2021-11-04 16:58:24,2021-12-03 12:38:14,2489990.45,6080.00000
605,23,2021-11-04 16:58:26,2021-12-03 12:38:23,2489996.29,9890.00000
477,16,2021-11-04 16:58:24,2021-12-03 12:38:14,2489990.55,13920.00000
612,23,2021-11-04 16:58:27,2021-12-03 12:38:23,2489996.61,12650.00000
2,1,2021-11-04 16:58:14,2021-12-03 12:37:43,2489969.53,620.00000
11,2,2021-11-04 16:58:14,2021-12-03 12:37:44,2489969.90,40.00000
12,2,2021-11-04 16:58:14,2021-12-03 12:37:44,2489969.94,80.00000
14,2,2021-11-04 16:58:14,2021-12-03 12:37:44,2489970.02,1260.00000
609,23,2021-11-04 16:58:27,2021-12-03 12:38:23,2489996.46,6900.00000
610,23,2021-11-04 16:58:27,2021-12-03 12:38:23,2489996.52,2990.00000
611,23,2021-11-04 16:58:27,2021-12-03 12:38:23,2489996.56,20240.00000
620,24,2021-11-04 16:58:27,2021-12-03 12:38:24,2489996.97,9840.00000
633,25,2021-11-04 16:58:27,2021-12-03 12:38:25,2489997.51,18750.00000
119,7,2021-11-04 16:58:16,2021-12-03 12:37:51,2489974.52,2800.00000
615,23,2021-11-04 16:58:27,2021-12-03 12:38:23,2489996.76,7590.00000
616,23,2021-11-04 16:58:27,2021-12-03 12:38:23,2489996.81,1150.00000
618,24,2021-11-04 16:58:27,2021-12-03 12:38:24,2489996.89,5040.00000
689,31,2021-11-04 16:58:29,2021-12-03 12:38:28,2489999.77,29760.00000
120,7,2021-11-04 16:58:16,2021-12-03 12:37:51,2489974.56,6510.00000
121,7,2021-11-04 16:58:16,2021-12-03 12:37:51,2489974.60,3360.00000
479,17,2021-11-04 16:58:24,2021-12-03 12:38:14,2489990.64,5950.00000
36,2,2021-11-04 16:58:15,2021-12-03 12:37:46,2489971.11,140.00000
37,2,2021-11-04 16:58:15,2021-12-03 12:37:46,2489971.15,960.00000
44,3,2021-11-04 16:58:15,2021-12-03 12:37:46,2489971.44,1080.00000
